Date and time;Alarm;Status
13/06/2022 10:09:12;Sensor #8 Low Supercapacitor voltage;ON
13/06/2022 10:09:12;Sensor #7 module error;ON
13/06/2022 10:09:11;Sensor #7 Low Supercapacitor voltage;ON
13/06/2022 10:09:11;Sensor #6 module error;ON
13/06/2022 10:09:11;Sensor #6 Low Supercapacitor voltage;ON
13/06/2022 10:09:11;Sensor #5 module error;ON
13/06/2022 10:09:11;Sensor #5 Low Supercapacitor voltage;ON
13/06/2022 10:09:11;Sensor #4 module error;ON
13/06/2022 10:09:11;Sensor #4 Low Supercapacitor voltage;ON
13/06/2022 10:09:11;Sensor #3 module error;ON
13/06/2022 10:09:11;Sensor #3 Low Supercapacitor voltage;ON
13/06/2022 10:09:11;Sensor #2 module error;ON
13/06/2022 10:09:11;Sensor #2 Low Supercapacitor voltage;ON
13/06/2022 10:09:11;Sensor #1 module error;ON
13/06/2022 10:09:11;Sensor #1 Low Supercapacitor voltage;ON
13/06/2022 10:09:08;Last sensor or Gateway Communication error;ON
13/06/2022 10:06:26;Last sensor or Gateway Communication error;OFF
13/06/2022 10:04:34;Last sensor or Gateway Communication error;ON
13/06/2022 10:00:21;Sensor #24 Low Supercapacitor voltage;OFF
